a,একটি
pistol,পিস্তল
pistole,বন্দুক
pistoled,হতবন্দুক ছোঁড়া
pistoleer,পিস্তল - সজ্জিত সৈন্য
pistoles,পিস্তল
pistoling,হতবন্দুক ছোঁড়া
pistolled,পিস্তল
pistolling,পিস্তল
pistols,পিস্তল
piston,পিস্টন
pistons,পিস্টন
pit,খন্দ
pit full of water,ডোবা
pitapat,শিহরণ
pitapats,কম্পন
pitcairn,পিটকেয়ার্ন
pitch,পিচ
pitch of the screw,থাক
pitched,গল্পটা
pitcher,জার
pitcherful,এক কলসি কোনোকিছু
pitchers,কলস
pitches,পিচ
pitchier,পিচের মত
pitchiest,পিচের মত
pitching,শিবিরাদি স্থাপন করা
pitchy,অত্যন্ত কাল
piteous,শোচনীয়
piteousness,করুন অবস্থা
pitfall,ফাঁদ
pitfalls,চোরা গর্ত্ত
pith,মজ্জা
pithier,মজ্জাপূর্ণ
pithiest,মজ্জাপূর্ণ
pithless,অসার
pithy,বলিষ্ঠ
pitiable,অভাগা
pitied,করুণা করা
pities,করুণা করা
pitiful,বেচারা
pitiless,নিষ্করুণ
pitilessly,নির্মম
pitman,কয়লাখনির শ্রমিক
pitmen,কয়লাখনির শ্রমিক
pits,খন্দ
pitta,পিট্টা
pittance,সামান্য বেতন
pittances,অত্যল্প অংশ
pitted,ছোটে ছোটে গর্ত করা
pitting,ছোটে ছোটে গর্ত করা
pittsburgh,পিটসবার্গ
pituita,শ্লেষ্মা
pituitaries,পিটুইটারি
pituitary,শ্লেষ্মানিঃসারক
pity,দু: খের বিষয়
pitying,করুণাপ্রশাসক
pivot,পিভট
pivotal,কেঁদ্রগত
pivoted,পিভটে ভর দিয়া ঘোরান
pivoting,পিভটে ভর দিয়া ঘোরান
pivots,পিভট
pix,ছবি
pixel,পিক্সেল
pixels,পিক্সেল
pixie,ক্ষুদ্ৰ পরী বিশেষ
pixies,ক্ষুদ্র পরী
pixilated,মাতাল
pixillated,ষৎ বিকৃতমস্তিষ্কত্তয়ালা
pixmap,পিক্সম্যাপ
pixy,ক্ষুদ্র পরী
pizza,পিজা
pizzas,পিজা
pizzle,ষণ্ডাদির জননেন্দ্রিয়
plaas,ফার্ম
placability,প্রশম্যতা
placable,প্রশমনীয়
placard,প্ল্যাকার্ড
placarded,প্ল্যাকার্ড মারিয়া বিজ্ঞাপিত করা
placarding,প্ল্যাকার্ড মারিয়া বিজ্ঞাপিত করা
placards,প্ল্যাকার্ড
placate,শান্ত করা
placated,শান্ত করা
placates,শান্ত করা
placating,মুহূর্তেও ভুলিতে
placatory,আপোস - সহায়ক
place,স্থান
place in a favourable light,বিবৃত করা
place of birth,জন্মস্থান
place upon,চড়ান
placebo,রোগীর মন রাখার জন্য প্রদত্ত ঔষধ
placed,স্থাপিত
placed on the lap of,অঙ্কস্থিত
placeholder,স্থানধারক
placeholders,স্থানধারক
placeman,সরকারি পদাধিকারী ব্যক্তি
placemen,সরকারি পদাধিকারী ব্যক্তি
placement,স্থাননির্ণয়
placements,এদেশের
placenta,অমরা
placentae,গর্ভের ফুল
placental,অমরা বা ডিম্বকবাহী গর্ভপত্র - সংক্রান্ত
placentas,গর্ভের ফুল
placentation,অমরাবিন্যাস
placer,স্থাপনকারী
placers,স্থাপনকারী
places,জায়গা
placet,নৃপতির অনুমতি
placibility,প্রশম্যতা
placid,শান্ত
placidity,শান্তভাব
placidly,কায়েদা প্রতিষ্ঠার
placing,স্থাপন
placing inside,প্রক্ষেপক
placing within,প্রক্ষেপক
placings,স্থাপন
placitum,প্রচলিত
placket,ঘাগরার পকেটবিশেষ
plage,সমুদ্রতীর
plagiaries,কুম্ভীলক
plagiarised,plagiarized
plagiarism,কুম্ভীলকবৃত্তি
plagiarisms,রচনাচুরি
plagiarist,চন্দ্ররেণু
plagiarists,চন্দ্ররেণু
plagiarize,কুম্ভীলকগিরি করা
plagiarizes,খুজছিল
plagiarizing,ফেব্রুয়ারী
plagiary,কুম্ভীলক
plague,প্লেগ রোগ
plagued,উপদ্রুত ২
plaguer,প্লেগ
plagues,আঘাত
plaguesome,অপ্রীতিকর
plaguey,অপ্রীতিকর
plaguing,এর plaguing
plaguy,প্লেগ - সংক্রান্ত
plaice,বোয়াল - জাতীয় মত্স্যবিশেষ
plaid,মোটা কম্বল
plaids,মোটা কম্বল
plain,সাধারণ
plain-english,সরল ইংরেজি
plain-spoken,স্পষ্টবাদী
plain-text,সাধারণ টেক্সট
plained,সাধারন
plainer,সাধারণ
plainest,সাধারণ
plainly,সরলভাবে
plainness,অকপটতা
plainnesses,সরল্য
plains,সমভূমি
plainsman,সমতল সমভূমির অধিবাসী
plainsmen,সমতল অঁচলের অধিবাসী
plainspoken,স্পষ্টবাদী
plaint,আরজি
plaintext,প্লেইন
plaintiff,বাদী
plaintiffs,বাদী
plaintive,দু: খজনক
plaintively,সকরুণভাবে
plaints,ভর্তুকির
plait,বেণী
plaited,বিনুনি করা
plaiter,বিনুনি
plaiting,ভাঁজ করা
plaits,ভাঁজ করা
plan,পরিকল্পনা
planar,প্ল্যানার
planation,ভারি দুর্ভাগা জাতি
planchet,মুদ্রদি তৈয়ারির জন্য ধাতুর মসৃণ পাত ও চাকতি
planchette,প্রেতাত্মাকে আহ্বানপূর্বক উহার সহিত কথাবার্তা যে তক্তার উপরে লেখা হয়
plane,সমতল
plane sailing,সহজ কাজ
planed,সমতল করা
planer,মসৃণ করার যন্ত্র
planers,সমতল করার যন্ত্র
planes,প্লেন
planet,গ্রহ
planetaria,অস্থিরমতি
planetarium,গ্রহমণ্ডলীর নকশা
planetariums,"planetariums
planetary,অস্থিরমতি
planetoid,অতি ক্ষুদ্র গ্রহ
planetoids,অতি ক্ষুদ্র গ্রহ
planets,গ্রহ
plangent,অনুনাদশীল
plangorous,ক্রঁদিত
planing,সমতল করা
plank,তক্তা
planked,তক্তা দিয়া ঢাকা
planking,তক্তা দিয়া ঢাকা
planks,তক্তা
plankton,প্ল্যাঙ্কটন
planless,এলোমেলো
planned,পরিকল্পিত
planner,পরিকল্পক
planners,পরিকল্পক
planning,পরিকল্পনা
planning officer,পরিকল্পক
plannings,পারলে
plans,পরিকল্পনা
plant,উদ্ভিদ
plant-derived,গাছপালা থেকে উদ্ভূত
planta,উদ্ভিদ
plantae,উদ্ভিদ
plantain,কলা
plantains,কলা
plantation,বাগান
plantations,চাষ
planted,নিবদ্ধ
planted into,প্রোথিত
planter,আবাদকারী
planters,রোপনকারীতে
plantigrade,পায়ের তলায় ভর দিয়া চলে এমন প্রাণী
planting,আবাদ
plantings,আবাদ
plants,গাছপালা
plaque,প্লেক
plaquette,নিয়ে তাকায়
plash,পুষ্করিণী
plashed,জলক্রীড়া করা
plashes,জলক্রীড়া করা
plashing,জলক্রীড়া করা
plasm,ছাঁচ
plasma,রক্তরস
plasmas,রক্তরস
plasmatic,উত্তরঃ বীর্য
plasmic,রক্তরস - সংক্রান্ত
plasmid,প্লাসমিড
plasmids,প্লাসমিড
plasmodium,প্লাজমোডিয়াম
plasms,ছাঁচ
plaster,মলম
plastered,মাতাল
plastering,প্লেস্তার লেপন করা
plasters,প্লেস্তার লেপন করা
plastic,প্লাস্টিকের
plasticiser,তফাৎ
plasticity,নমনীয়তা
plasticizer,plasticizer যাও
plastics,প্লাস্টিক
plastron,বক্ষস্ত্ৰাণবিশেষ
plat,ভূমিখণ্ড
plate,প্লেট
plateau,মালভূমি
plateaued,মালভূমি
plateauing,মালভূমি
plateaus,মালভুমি
plateaux,মালভূমি
plated,ধাতুপট্টাবৃত
plateful,একথালায় যতটা ধৰে ততটা
platelet,প্লেটলেট
platelets,প্লেটলেট
platen,মুদ্রণযন্ত্রের যে ফলকে সজান টাইপসমূহের উপরে কাগজ চাপিয়া ধরা
plater,দৌদের নিকৃষ্ট ঘোড়া
plates,প্লেট
platform,মাচা
platformed,মঁচস্থ করা
platforming,মঁচস্থ করা
platforms,প্ল্যাটফর্মের
platina,প্লাটিনাম
plating,কলাই
platings,ধাতুলেপন
platinic,প্ল্যাটিনাম - সংক্রান্ত
platinize,প্ল্যাটিনাম দিয়া মণ্ডিত করা
platinoid,তামা দস্তা ও নিকলের সঙ্কর ধাতু
platinum,প্ল্যাটিনাম
platinums,প্লাটিনাম
platitude,ধুয়া
platitudes,মামুলি মন্তব্য
platitudinarian,যে ব্যক্তি ঐরূপ মন্তব্য করিতে অভ্যস্ত
platonic,আদর্শমূলক
platonically,দুর্ভাগ্যবশত
platonism,প্লেটার দর্শনতত্ত্ব
platoon,পল্টন
platoons,পল্টন
plats,কথা বলতে
platted,বক
platter,থালা
platters,থালা
platy,জিনের ধারায়
platypus,পাতিহাঁসের ন্যায় চঞ্চুযুক্ত অস্ট্রেলীয়ার ক্ষুদ্র স্তন্যপায়ী অণ্ডজ জন্তুবিশেষ
plaudit,তারিফ
plaudits,প্রশংসা
plausibility,সম্ভরপরতা
plausible,বিশ্বাসযোগ্য
plausibly,সম্ভাব্য
play,খেলা
play a part,অংশগ্রহণ করা
play at,ভান করা
play chess,দাবা
play down,খোশামুদি করা
play false,বিশ্বাসঘাতকতা করা
play footsie,ছিনালি করা
play house,রঙ্গালয়
play the ape,নকল করা
play the woman,ভয় পাওয়া
play tricks,চাতুরী করা
play truant,স্কুল পালানো
play-acting,অভিনয়
playable,খেলার যোগ্য
playacting,নাট্যাভিনয়
playactor,পেশাদার নাট্যাভিনেতা
playback,প্লেব্যাক
playbacks,প্লেব্যাক
playbill,অভিনয় বিজ্ঞাপন পত্র
playbills,অভিনয় বিজ্ঞাপন পত্র
playboy,ফুর্তিবাজ
playcount,প্লে-কাউন্ট
playday,ছুটির দিন
playdays,ছুটির দিন
played,অভিনীত
player,প্লেয়ার
player-window,প্লেয়ার উইন্ডো
players,খেলোয়াড়
playfellow,খেলার সাথী
playful,ক্রীড়নশীল
playfulness,পরিহাসপ্রিয়তা
playgoer,নিয়মিত নাট্যদর্শক
playground,খেলার মাঠ
playgrounds,খেলার মাঠ
playgroup,প্লেগ্রুপে
playgroups,মূল্যায়নের
playhouse,নাটমন্দির
playhouses,থিয়েটার
playing,কেলি
playing card,তাস
playing field,মাঠ
playings,খেলে
playlet,ক্ষুদ্র নাটক
playlets,ক্ষুদ্র নাটক
playlist,প্লেলিস্ট
playlist-browser,সংঙ্গীত-তালিকা ব্রাউজার
playlist-window,সঙ্গীত-তালিকা উইন্ডো
playlists,প্লেলিস্ট
playmate,খেলার সাথী
playmates,খেলার সাথী
playoff,প্লে
playoffs,প্লেঅফ
playroom,খেলার ঘর
playrooms,খেলাঘর
plays,নাটক
playsuit,সমন্বয়
plaything,খেলনা
playtime,খেলাধুলার জন্য নির্দিষ্ট সময়
playwright,নাট্যকার
playwrights,নাট্যকার
playwriter,নাট্যকার
playwriting,প্লেরাইটিং
plaza,চক
plazas,বাজার
plea,ছুতা
pleach,পরস্পর বিজড়িত করা
pleached,একত্র জড়াইয়া বোনা
pleaches,একত্র জড়াইয়া বোনা
pleaching,একত্র জড়াইয়া বোনা
plead,আত্মসমর্থন করা
pleaded,স্বপক্ষে
pleader,উকিল
pleaders,উকিল
pleading,প্রতিবাদী
pleading against,প্রতিবাদী
pleading in reply,প্রতিবাদী
pleadingly,সনিবর্ন্ধে
pleadings,মকদ্দমার জবাব
pleads,আত্মসমর্থন করা
pleaing,জবাব
pleas,অজুহাত
pleasance,উপাদেয়তা
pleasances,উপাদেয়তা
pleasant,আরামপ্রদ
pleasanter,মনোজ্ঞ
pleasantest,মনোজ্ঞ
pleasantness,মাধুরী
pleasantnesses,মাধুরী
pleasantries,ঢামালি
pleasantry,কৌতুক
please,করুন
pleased,আনন্দিত
pleaser,কাছা - ধরা
pleasers,কাছা-ধরা
pleases,করে
pleaseth,অনুগ্রহ
pleasing,আনন্দদায়ক
pleasurable,আনন্দদায়ক
pleasure,আনন্দ
pleasure boat,প্রমোদতরী
pleasure ground,বিহারভূমি
pleasure-boat,প্রমোদতরী
pleasure-trip,প্রমোদভ্রমণ
pleasured,আছে আল্লাহ
pleasurer,আনন্দ
pleasures,আনন্দ
pleasuring,আনন্দদান করা
pleat,ভাঁজ বা পাট করা
pleated,পাট করা
pleats,পাতা
plebeian,জনসাধারণের
plebiscite,গণভোট
plebiscites,অসন্তোষ
plebs,প্রাচীন রোমের নাগরিক সুখবিসুখ ও অধিকার হইতে বহুলাংশে বঞ্চিত জনসাধারণ
plectra,মেজরাব
plectrum,মেজরাব
plectrums,মেজরাব
pled,আত্মসমর্থন করা
pledge,অঙ্গীকার
pledged,প্রতিশ্রুত
pledgee,বন্ধকগ্রহীতা
pledgees,বন্ধকগ্রহীতা
pledger,২টা
pledges,অঙ্গীকার
pledging,অঙ্গীকার করা
pledgor,স্ত্রীর মর্যাদা দিয়েছে
pleiad,অতি বিশিষ্ট সপ্তজন
pleiades,কৃত্তিকা
pleiads,কৃত্তিকা
pleistocene,প্রস্তর
plena,সম্পূর্ণ
plenary,ব্যতিক্রমহীন
plenipotentiary,পূর্ণক্ষমতাপ্রাপ্ত
plenitude,প্রাচুর্য
plenteous,প্রচুর
plenteousness,নিকটস্থ
plenties,প্রাচুয্র্য
plentiful,অঢেল
plentifulness,অপর্যাপ্তি
plenty,প্রচুর
plenum,পূর্ণাঙ্গ অধিবেশন
plenums,পূর্ণাঙ্গ অধিবেশন
pleonasm,অধিকপদতা
pleonasms,অধিকপদতা
plethora,আধিক্য
plethoras,আধিক্য
plethoric,রক্তাধিক্যপূর্ণ
pleura,ফুসফুস ধরা কলা
pleurae,ফুসফুস ধরা কলা
pleural,রলিউরযাল
pleurisies,প্লুরিসি
pleurisy,প্লুরিসি
pleuritic,প্লুরিসিগ্রস্ত
plexor,ক্ষুদ্র ডাক্তারি হাতুড়িবিশেষ
plexus,জালক
plexuses,জাল
pliabilities,নমনীয়তা
pliability,নম্রতা
pliable,নম্র
pliancies,নমনীয়তা
pliancy,নম্রতা
pliant,নম্র
plications,ভুয়া মেজর '
plie,হাঁটু বাঁকান
plied,রুটে চলছে
plier,ভাঁজ
pliers,প্লাস
plies,অটলভাবে কাজ করা
plight,অঙ্গীকার
plighted,প্রতিশ্রুতি দেত্তয়া
plighting,প্রতিশ্রুতি দেত্তয়া
plights,অঙ্গীকার
plimsolls,রবারের তলাযুক্ত ক্যাম্বিসের জুতা
plink,ঠং
plinks,ঠং
plinth,থামাল
plinths,স্তম্ভমূল
plod,ঢিকিয়ে ঢিকিয়ে চলা
plodded,ঢিকিয়ে ঢিকিয়ে চলা
plodder,মেহনতী
plodders,মেহনতী
plodding,শ্রমশীল
plods,ঢিকিয়ে ঢিকিয়ে চলা
plonk,সবেগে নিক্ষেপ করা
plop,অকস্মাৎ
plopped,চড় মারা
plopping,চড় মারা
plops,চুর্পশব্দ
plosive,স্পর্শবর্ণ
plosives,স্পর্শবর্ণ
plot,চক্রান্ত
plots,প্লট
plotted,অঙ্কিত
plotter,চক্রান্তকারী
plotters,ষড়্যন্ত্রকারী
plotting,অঙ্কন
plottings,অঙ্কন
plough,লাঙ্গল
plough through,পথ কেটে এগিয়ে যাওয়া
ploughable,কর্ষনীয়
ploughboy,হলকর্ষণকালে ঘোড়াগুলিকে পরিচালনার জন্য নিযুক্ত বালক
ploughed,চষা
plougher,কৃষিজীবী
ploughers,কৃষিজীবী
ploughing,হলকর্ষণ
ploughings,চাষ
ploughland,কর্ষণোপযোগী জমি
ploughlands,কর্ষণোপযোগী জমি
ploughman,চাষা
ploughmen,কৃষক
ploughs,plows
ploughshare,লাঙ্গলের ফাল
ploughshares,তারপরও
ploughtail,হল - লাঙুর
plover,টিট্টিভপক্ষী
plovers,টিট্টিভপক্ষী
plow,লাঙ্গল
plowed,চষা
plowing,হলকর্ষণ
plowman,চাষা
plowmen,কৃষক
plows,ঋক্ষমণ্ডল
plowshares,তারপরও
ploy,চাকরি
ployed,চাল
ploying,চাল
ploys,কাজ
pluck,ছোঁ
pluck up,সমূলে উত্পাটন করা
pluck up one's heart,সাহস সঞ্চয় করা
plucked,অনুত্তীর্ণ
pluckers,ডুব
pluckier,তেজস্বী
pluckiest,তেজস্বী
pluckily,সাহসে ভর করা
plucking,অবচয়
plucks,সংগ্রহ করা
plucky,সাহসী
plug,প্লাগ
plug-ugly,গুণ্ডা
plugged,প্লাগ
plugging,প্লাগিং
plugin,প্লাগ
plugins,প্লাগিন
plugs,প্লাগ
plum,বরই
plumage,পক্ষীর পালকসমূহ
plumages,পক্ষীর পালকসমূহ
plumb,পুরাদস্তর
plumbago,কৃষ্ণসীস
plumbagos,কৃষ্ণসীস
plumbed,উল্লম্ব করা
plumber,সীসক - কর্মকার
plumbers,প্লামার
plumbery,সীরার জিনিসপত্র নির্মাণের কারখানা
plumbing,নদীর গভীরতানির্ণয়
plumbings,নদীর গভীরতানির্ণয়
plumbline,ত্তলন
plumbs,উল্লম্ব করা
plumbum,সীসা
plume,জয়পতাকা
plumed,মন্দ
plumes,উদগত ধূম
plumier,পক্ষাচ্ছাদিত
plumiest,পক্ষাচ্ছাদিত
pluming,পক্ষ বিন্যাস করা
plummet,ত্তলনদড়ি
plummets,ত্তলন
plummy,মনোরম
plumose,পালকবিশিষ্ট
plump,মোটা
plump man,মোটা ব্যক্তি
plumper,টুপ - শব্দে বা ধপ শব্দে পতন অথবা আঘাত
plumpest,মোটা
plumpness,নিবিড়তা
plumps,জলের ছিটা
plums,বরই
plumule,গেঁজ
plumules,গেঁজ
plumy,পক্ষাচ্ছাদিত
plunder,লুঠতরাজ
plunderage,ডাকাতি
plundered,অপহৃত
plunderer,ডাকু
plunderers,লুটেরা
plundering,অপহারক
plunderous,অপহারী
plunders,রুদ্রপ্রসাদ সেনগুপ্ত আক্ষেপে
plunge,নিমজ্জন
plunge into water,ডুব
plunged,নিমগ্ন
plunger,মজ্জনকারী
plungers,মজ্জনকারী
plunges,নিমজ্জন
plunging,ডুবান
plunk,সবেগে নিক্ষেপ করা
plunked,বাজা
plunking,বাজা
plunks,বাজা
pluperfect,পুরাঘটিত অতীত
pluperfects,পুরাঘটিত কাল
plural,বহুবচন
pluralise,এনজিও
pluralism,একাধিকত্ব
pluralisms,একাধিকত্ব
pluralist,নানাত্ববাদী
pluralists,নানাত্ববাদী
pluralities,এ দাবীর
plurality,বহুবচন
pluralization,সমাজের
pluralize,বহুবচনাত্মক
pluralized,বহুবচনে
pluralizes,একাধিক করা
pluralizing,একাধিক করা
plurals,বহুবচন
plus,যোগ
plus sign,ধনচিহ্ন
pluses,যোগ
plush,প্লাশ্
plushes,প্লাশ্
plussed,ফুটপাথ ব্যবহার
plusses,যোগ
pluto,প্লুটো
plutocracies,ধনতন্ত্র
plutocracy,ধনতন্ত্র
plutocrat,ধনদর্পী
plutocratic,ধনিকতান্ত্রিক
plutolatry,ধনোপাসনা
plutonian,পাতালের
plutonic,আগ্নেয়গিরি - সংক্রান্ত
plutonism,তাহের
plutonium,ইউরেনিআম হইতে গঠিত মৌল পদার্থ বিশেষ
pluvial,বৃষ্টিবহুল
pluviometer,বৃষ্টিমান
pluviometers,বৃষ্টিপরিমাপক যন্ত্র
ply,অটলভাবে কাজ করা
plying,অটলভাবে কাজ করা
plywood,পাতলা পাতলা কাঠ
plywoods,তিনপীস্ কাঠ
pm,প্রধানমন্ত্রী
pneuma,আজকের
pneumatic,বায়ুসংক্রান্ত
pneumatics,বায়ুবিজ্ঞান
pneumatological,আত্মাতত্ত্ব
pneumonectomy,ফুসফুসের অংশবিশেষ কর্তন
pneumonia,নিউমোনিআ
pneumonias,ফুস্ফুস্ প্র্রদাহ
pneumonic,নিউমোনিআগ্রস্ত
pneumothorax,আক্রান্ত হলে
png,পিএনজি
pnm,সফরের
po,রাত্রিকালে শয়নকক্ষে ব্যবহৃত মূত্রধানী
po-faced,গোমড়া-মুখো
po-fased,গোমড়ামুখো
poa,লম্বা ঘাসবিশেষ
poach,হস্তগত করা
poached,পোচ
poacher,ডিম্বাদির পোচ করার যন্ত্র
poaches,হস্তক্ষেপ করা
poaching,চোরাশিকার
poachy,সেঁতসেঁতে
pochette,স্ত্রীলোকের হাতল - ছাড়া ছোট হাতব্যাগ
pock,উপদংশ
pocket,পকেট
pocket money,হাত-খরচ
pocket-book,নোটবই
pocketbook,নোটবই
pocketbooks,নোটবই
pocketed,জামার পকেট বহনসাধ্য
pocketful,এক পকেটে যত ধরে তত পরিমাণ
pocketing,পকেটে রাখা
pockets,পকেট
pockmarked,উপদংশ চিহ্নিত
pocks,বসন্তরোগের গুটিকা
pococurante,উদাসীন
pod,শুঁটি
podcast,পডকাস্ট
podcasting,পডকাস্টিং
podcasts,পডকাস্ট
podded,সচ্ছল
podding,শুঁটি ছাড়ান
podgy,মোটা ও বেঁটে লোক বা জিনিস
podia,মঁচ
podiatry,পায়ের কাড় আঁচিল স্ফীতি প্রভৃতির চিকিত্সা
podium,মঁচ
podiums,মঁচ
pods,শুঁটি
poem,কবিতা
poems,কবিতা
poeple,নিয়েছেন
poesies,কবিতা
poesy,কাব্য
poet,কবি
poetaster,বাজে কবি
poetasters,নগণ্য কবি
poetess,মহিলা - কবি
poetic,কবিসুলভ
poetical,কবিতাসম্বন্ধীয়
poeticize,কবিতা লেখা
poeticized,কবিত্ব করা
poeticizes,কবিত্ব করা
poeticizing,কবিত্ব করা
poetics,রসশাস্ত্র
poetize,কবিতা লেখা
poetized,কবিত্ব করা
poetizes,কবিত্ব করা
poetizing,কবিত্ব করা
poetries,কবিতা
poetry,কবিতা
poets,কবি
pogo,খেলনা রণপাবিবিশেষ
pogonotomy,ক্ষৌরকার্য
pogrom,সুসংগঠিত হত্যাসাধন ও লুন্ঠন
pogroms,দাঙ্গাকে রোধ
poignancies,তীক্ষ্নতা
poignancy,কটুতা
poignant,গ্লানিকর
poilu,Poilu ডাক
point,বিন্দু
point blank,সরাসরি
point of the compass,দিক
point of view,দৃষ্টিকোণ
point out,ইঙ্গিত করা
point-blank,কটু
pointed,তীক্ষ্ন
pointed out,নির্দিষ্ট
pointedly,স্পষ্টতই
pointedness,করে নাই
pointer,ইশারা
pointers,পয়েন্টার
pointes,বিন্দু
pointful,যোগ্য
pointier,ব্রেসলেট ব্রেসলেট
pointing,ইশারা
pointings,ইশারা
pointless,অর্থহীন
points,পয়েন্ট
pointsman,সুইচম্যান
pointsmen,সুইচম্যান
pointy,সূচালো
poise,ভার চাপান
poised,পয়েজড
poises,ত্তজন করা
poisha,পর্ব
poising,ত্তজন করা
poison,বিষ
poison gas,বিষবাষ্প
poison-fage,সাপের বিষদাঁত
poison-gas,বিষবাষ্প
poisoned,বিষ
poisoner,বিষপ্রয়োজক
poisoners,বিষপ্রয়োজক
poisoning,বিষণ
poisoning blood,রক্তদুষ্টি
poisonous,বিষাক্ত
poisons,বিষাক্ত
poisson,মাছ
poitin,Poitín
poke,অকর্মা
poked,হাতড়ান
poker,জুজু
pokers,জুজু
pokes,অকর্মা
pokey,তুচ্ছ বাজে কাজে লিপ্ত
pokier,তুচ্ছ বাজে কাজে লিপ্ত
pokies,ফাতেমা
pokiest,তুচ্ছ বাজে কাজে লিপ্ত
poking,খোঁচা
poky,বাজে
poland,পোল্যাণ্ড
polar,মেরু
polaris,ধ্রুবতারা
polarisation,সমবর্তন
polarisations,মেরুকরণ
polarise,সমবর্তিত করা
polarised,সমবর্তিত
polariser,ধ্রুবতারা
polarises,মেরূপ্রবণ করা
polarising,polarizing
polarities,অ্যাটর্নি
polarity,দুই বিপরীত মেরুযুক্ত
polarization,সমবর্তন
polarizations,সমবর্তন
polarize,সমবর্তিত করা
polarized,সমবর্তিত
polarizer,সমবর্তক
polarizes,মেরূপ্রবণ করা
polarizing,মেরূপ্রবণ করা
pole,মেরু
pole -star,ধ্রুবতারা
pole ax,কুঠার
pole axe,কুঠার
pole star,পথপ্রদর্শক
polecat,খট্টাশ
polecats,খট্টাশ
poled,মেরু
polemic,বিতর্কমূলক
polemical,বিতর্কমূলক
polemics,তর্কশাস্ত্র
poler,মেরু
poles,খুঁটি
police,পুলিশ
police consatble,পুলিশ কনস্টেবল
police sergent,পুলিশ সার্জেন্ট
police station,থানা
policed,পুলিশি
policeman,পুলিশ
policemen,পুলিশ
polices,পুলিস জোগান
policewoman,নারী - পুলিস
policewomen,নারী পুলিশ সদস্যরা
policies,নীতি
policing,পুলিশি
policy,নীতি
policyholder,যে
policyholders,যে
poling,মেরু
polio,শিশু - ব্যাধিবিশেষ
poliomyelitis,শিশু - ব্যাধিবিশেষ
polis,পুলিশ
polish,পালিশ
polish off,শাস্তি দেত্তয়া
polished,মার্জিত
polisher,পোলিশ
polishes,পালিশ
polishing,মসৃণতা
politburo,পলিটব্যুরোর
polite,ভদ্র
polite regard,খাতিরযত্ন
politely,সবিনয়ে
politeness,ভদ্রতা
politenesses,শিষ্টতা
politer,ঋণচুক্তিটিই
politest,ভদ্র
politic,কৌশলী
political,রাজনৈতিক
political asylum,রাজনৈতিক আশ্রয়
political economy,অর্থনীতি
political science,কূটনীতি
politically,রাজনৈতিকভাবে
politician,রাজনীতিজ্ঞ
politicians,রাজনীতিবিদ
politicisation,রাজনৈতিকীকরণ
politicise,politicize
politicised,রাজনৈতিক
politicising,শেখ বাড়ির
politicization,রাজনৈতিকীকরণ
politicized,রাজনৈতিক
politicizes,রাজনীতিবিদে
politicizing,শেখ বাড়ির
politick,রাজনৈতিক কার্যে লিপ্ত হওয়া
politicking,লীগ
politicks,যোগাযোগ মন্ত্রণালয়ের
politicly,সুবিবেচিতভাবে
politico,রাষ্ট্রনীতিক
politics,রাজনীতি
polities,রাষ্ট্রশাসনব্যবস্থা
polity,রাষ্ট্র
polka,যাযাবর - জাতির নৃত্যবিশেষ বা ঐ নাচের সুর
poll,পোলের
poll tax,মাথট
pollard,ছিন্নাগ্রবৃক্ষ
pollarded,মুণ্ডিত
pollarding,গাছের মাথা ছাঁটা
pollards,গাছের মাথা ছাঁটা
polled,চুল ছাঁটিয়া ফেলা
pollen,পরাগ
pollen tube,কেশর
pollenate,পরাগ বহিয়া লইয়া দেওয়া
pollens,পরাগ
poller,ভোট
pollinate,পরাগিত করা
pollinated,পরাগিত
pollinates,পরাগ বহিয়া লইয়া দেত্তয়া
pollinating,পরাগবহনকারী
pollination,পরাগযোগ
pollinations,পরাগমিলন
pollinator,পরাগবহনকারীর
pollinators,পরাগবহণকারীদের
polling,ভোটদান
pollock,পোলক
polls,নির্বাচনে
pollster,জনমতসম্বন্ধে ভোট - গ্রহণাদিত্র দক্ষ ব্যক্তি
polltakers,ওপিনিয়ন পোল বলেছিল
pollutant,দূষক
pollutants,দূষণকারী
pollute,দূষিত করা
polluted,দূষিত
polluter,দূষণকারী
polluters,দূষণকারীদের
pollutes,দূষিত
polluting,দূষণ
pollution,দূষণ
pollutions,বাঁচানোর লক্ষ্যেই
pollywogs,সেখানে অনেক আরাম
polo,পোলো
polonaise,রেসিপি
polonium,অতিশয় তেজস্ক্রিয় মৌলিক পদার্থবিশেষ
polos,খুঁটি
poltergeist,উপদ্রবকারী ভূত
poltroon,ভীরু ব্যক্তি
poltrooneries,কাপুরূষতা
poltroonery,ভীরুতা
poltroons,কাপুরূষ
poly,বহু
poly-tetra-fluoro-ethene,পলি-টেট্রা-ফ্লুরো-ইথিন
polyamide,পলিএমাইড
polyamides,পলিএমাইড
polyandrous,বহুভর্তৃক
polyandry,বহুভর্তৃকত্ব
polyarchy,বহুশাসনতন্ত্র
polychlorinated,পলিক্লোরিনডটেড
polychromatic,বহুবর্ণ
polyclinic,সাধারণ হাসপাতাল
polycrystalline,"তরল স্ফটিক প্রদর্শন
